epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1681,1.30587,2.97519,1.73997,0.84006,0.23799,0.28872,0.12004,1.77642,2.5097,2.31027,0.000366125,0.000366125,0.000366125
2,28.5311,1.38091,2.03028,1.76059,0.46636,0.62825,0.45044,0.22137,1.60067,2.08135,2.37247,0.000721876,0.000721876,0.000721876
3,41.7263,1.35304,1.8527,1.74615,0.41655,0.47706,0.47414,0.20905,1.72426,1.95953,2.45041,0.00106296,0.00106296,0.00106296
4,54.609,1.39348,1.72261,1.77462,0.43386,0.44547,0.19509,0.08127,1.86412,2.66013,2.71189,0.00104501,0.00104501,0.00104501
5,67.2082,1.32285,1.53994,1.71359,0.51666,0.43075,0.46519,0.22059,1.68325,1.81426,2.26383,0.00102301,0.00102301,0.00102301
6,80.0203,1.33958,1.50731,1.70328,0.46628,0.74482,0.52179,0.26671,1.42533,1.64289,2.05006,0.00100101,0.00100101,0.00100101
7,92.6003,1.29738,1.41901,1.69445,0.50601,0.494,0.51197,0.28108,1.57802,1.59292,2.31296,0.000979013,0.000979013,0.000979013
8,105.108,1.30899,1.37769,1.68594,0.53384,0.76776,0.56027,0.28347,1.53166,1.24174,2.15796,0.000957015,0.000957015,0.000957015
9,118.131,1.27678,1.25612,1.65609,0.50866,0.80643,0.60355,0.3325,1.41172,1.19668,2.00294,0.000935018,0.000935018,0.000935018
10,131.443,1.26021,1.26002,1.6527,0.51844,0.55532,0.52883,0.27129,1.50736,1.25857,2.14161,0.00091302,0.00091302,0.00091302
11,145.154,1.26182,1.22018,1.6645,0.64639,0.81751,0.65281,0.3506,1.44336,1.16526,2.07522,0.000891022,0.000891022,0.000891022
12,158.717,1.23789,1.19071,1.63203,0.60413,0.58273,0.60818,0.34056,1.49157,1.00928,2.03658,0.000869024,0.000869024,0.000869024
13,172.306,1.25022,1.14743,1.63204,0.55603,0.63798,0.65634,0.367,1.36818,0.99368,1.92695,0.000847026,0.000847026,0.000847026
14,186.222,1.2197,1.09974,1.61417,0.61799,0.66339,0.66995,0.38064,1.37912,0.99228,1.9279,0.000825029,0.000825029,0.000825029
15,200.064,1.22127,1.10312,1.60743,0.69595,0.61885,0.67796,0.3794,1.4057,0.97016,1.93676,0.000803031,0.000803031,0.000803031
16,213.663,1.20887,1.09857,1.60787,0.60844,0.55108,0.60941,0.33851,1.38045,1.18976,1.93829,0.000781033,0.000781033,0.000781033
17,227.147,1.21058,1.10052,1.60081,0.62495,0.66808,0.68971,0.39346,1.30686,0.86727,1.89768,0.000759035,0.000759035,0.000759035
18,240.553,1.19916,1.05454,1.60765,0.63889,0.64786,0.68862,0.40023,1.32684,0.87397,1.92407,0.000737037,0.000737037,0.000737037
19,254.035,1.17187,1.0452,1.58273,0.66999,0.6486,0.68642,0.40191,1.293,0.938,1.87489,0.00071504,0.00071504,0.00071504
20,267.453,1.19029,1.01611,1.59449,0.70691,0.62441,0.69398,0.4195,1.25674,0.85572,1.79752,0.000693042,0.000693042,0.000693042
21,281.258,1.18884,1.01515,1.5914,0.67757,0.6397,0.70031,0.41204,1.27788,0.89712,1.83588,0.000671044,0.000671044,0.000671044
22,295.45,1.14594,0.96473,1.56176,0.68302,0.66251,0.70718,0.41432,1.31701,0.88173,1.88626,0.000649046,0.000649046,0.000649046
23,309.623,1.14304,0.9501,1.56301,0.64124,0.68375,0.70847,0.42082,1.28271,0.85625,1.83427,0.000627048,0.000627048,0.000627048
