epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.0978,0.78696,0.95151,1,0.19785,0.000366125,0.000366125,0.000366125
2,53.906,0.27757,0.96013,1,0.12707,0.000712155,0.000712155,0.000712155
3,79.5133,0.26493,0.95959,1,0.14106,0.00103374,0.00103374,0.00103374
4,105.354,0.27721,0.91649,1,0.25409,0.00100101,0.00100101,0.00100101
5,130.969,0.31014,0.92511,1,0.20968,0.000964348,0.000964348,0.000964348
6,156.66,0.25735,0.94343,1,0.2017,0.000927685,0.000927685,0.000927685
7,183.684,0.28223,0.94235,1,0.18695,0.000891022,0.000891022,0.000891022
8,212.158,0.231,0.94989,1,0.15203,0.000854359,0.000854359,0.000854359
9,239.506,0.22613,0.9569,1,0.13669,0.000817696,0.000817696,0.000817696
10,266.414,0.17467,0.93858,1,0.20398,0.000781033,0.000781033,0.000781033
11,293.449,0.18396,0.95636,1,0.1302,0.00074437,0.00074437,0.00074437
12,320.389,0.16079,0.9569,1,0.15788,0.000707707,0.000707707,0.000707707
13,347.532,0.18346,0.95636,1,0.13217,0.000671044,0.000671044,0.000671044
14,374.388,0.13223,0.96821,1,0.11888,0.000634381,0.000634381,0.000634381
15,401.483,0.12985,0.96552,1,0.10911,0.000597718,0.000597718,0.000597718
16,428.524,0.10757,0.96282,1,0.12548,0.000561055,0.000561055,0.000561055
17,455.455,0.10609,0.95905,1,0.12929,0.000524392,0.000524392,0.000524392
18,482.519,0.07926,0.95797,1,0.13389,0.000487729,0.000487729,0.000487729
19,509.51,0.10393,0.96606,1,0.11032,0.000451066,0.000451066,0.000451066
20,536.534,0.08239,0.97037,1,0.09949,0.000414403,0.000414403,0.000414403
21,563.45,0.09468,0.96929,1,0.10561,0.00037774,0.00037774,0.00037774
22,590.318,0.08979,0.97091,1,0.09748,0.000341077,0.000341077,0.000341077
23,617.595,0.05808,0.96767,1,0.10558,0.000304414,0.000304414,0.000304414
24,644.643,0.04988,0.97737,1,0.08801,0.000267751,0.000267751,0.000267751
25,672.137,0.05006,0.97845,1,0.07984,0.000231088,0.000231088,0.000231088
26,699.715,0.05662,0.97791,1,0.07969,0.000194425,0.000194425,0.000194425
27,727.175,0.05097,0.97683,1,0.0814,0.000157762,0.000157762,0.000157762
28,754.716,0.07179,0.97791,1,0.07076,0.000121099,0.000121099,0.000121099
29,782.477,0.03855,0.97468,1,0.07519,8.4436e-05,8.4436e-05,8.4436e-05
30,810.269,0.05583,0.97737,1,0.07999,4.7773e-05,4.7773e-05,4.7773e-05
